,Category,Message
1412,1,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
1414,1,So wats ur opinion abt him and how abt is character?
1415,1,Jay is snickering and tells me that x is totally fucking up the chords as we speak
1416,1,No..few hours before.went to hair cut .
1417,1,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
1418,1,Lmao. Take a pic and send it to me.
1419,1,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
1420,1,No. She's currently in scotland for that.
1421,1,Do you work all this week ?
1423,1,Lol great now im getting hungry.
1424,1,Yes.. now only saw your message..
1425,1,I'll be at mu in like  &lt;#&gt;  seconds
1426,1,Ok...
1427,1,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
1428,1,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"
1430,1,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
1431,1,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\"""""
1432,1,Thanks for ve lovely wisheds. You rock
1433,1,You intrepid duo you! Have a great time and see you both soon. 
1434,1,I asked sen to come chennai and search for job.
1435,1,Dad went out oredi... 
1436,1,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
1437,1,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
1438,1,"Arms fine, how's Cardiff and uni? "
1439,1,In fact when do you leave? I think addie goes back to school tues or wed
1440,1,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)"""
1441,1,Ya:)going for restaurant..
1442,1,"Its ok., i just askd did u knw tht no?"
1444,1,Those ducking chinchillas
1445,1,I am in a marriage function
1446,1,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
1447,1,DonÛ÷t give a flying monkeys wot they think and I certainly donÛ÷t mind. Any friend of mine and all that!
1449,1,say thanks2. 
1450,1,Msg me when rajini comes.
1451,1,Ya! when are Ì_ taking ure practical lessons? I start in june..  
1452,1,"That's good, because I need drugs"
1453,1,Stupid.its not possible
1454,1,Can Ì_ all decide faster cos my sis going home liao..
1456,1,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
1458,1,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
1460,1,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
1461,1,Kinda. First one gets in at twelve! Aah. Speak tomo
1463,1,Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...
1464,1,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
1466,1,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
1467,1,I wont touch you with out your permission.
1469,1,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
1470,1,Take some small dose tablet for fever
1471,1,Oh. U must have taken your REAL Valentine out shopping first.
1472,1,"Just sent you an email ÛÒ to an address with incomm in it, is that right?"
1473,1,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
1474,1,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
1475,1,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
1476,1,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
1477,1,Why you keeping me away like this
1478,1,I think its far more than that but find out. Check google maps for a place from your dorm.
1479,1,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
1480,1,Have you always been saying welp?
1481,1,"I'm a guy, browsin is compulsory"
1482,1,Ok...
1483,1,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
1484,1,"Sorry, I'll call later"
1485,1,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
1486,1,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
1487,1,I told your number to gautham..
1488,1,Tell them no need to investigate about me anywhere.
1489,1,Ok i juz receive..
1490,1,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
1492,1,In the end she might still vomit but its okay. Not everything will come out.
1493,1,How are you with moneY...as in to you...money aint a thing....how are you sha!
1494,1,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
1495,1,Hey gals.. Anyone of u going down to e driving centre tmr?
1496,1,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
1497,1,I'm putting it on now. It should be ready for  &lt;TIME&gt; 
1498,1,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
1500,1,Host-based IDPS for linux systems.
1502,1,Don no da:)whats you plan?
1503,1,Ill be there on  &lt;#&gt;  ok.
1504,1,Oh my God. I'm almost home
1505,1,Total video converter free download type this in google search:)
1507,1,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
1508,1,Sounds like something that someone testing me would sayy
1509,1,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
1510,1,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
1511,1,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
1512,1,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
1513,1,Hows the champ just leaving glasgow!
1514,1,K:)all the best:)congrats...
1515,1,I wonder if you'll get this text?
1516,1,I need to come home and give you some good lovin...
1518,1,Shall i ask one thing if you dont mistake me.
1519,1,Check wid corect speling i.e. Sarcasm
1521,1,Are you angry with me. What happen dear
1522,1,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
1523,1,Yup ok thanx...
1524,1,Hi:)cts employee how are you?
1525,1,Pls pls find out from aunt nike.
1526,1,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
1527,1,No screaming means shouting..
1528,1,Hey what happen de. Are you alright.
1529,1,Should I have picked up a receipt or something earlier
1530,1,I think chennai well settled?
1531,1,Oh dang! I didn't mean o send that to you! Lol!
1532,1,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
1533,1,Horrible bf... I now v hungry...
1534,1,Remember on that day..
1536,1,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
1537,1,All sounds good. Fingers . Makes it difficult to type
1538,1,Midnight at the earliest
1539,1,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
1540,1,K come to nordstrom when you're done
1541,1,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
1542,1,Now press conference da:)
1544,1,After completed degree. There is no use in joining finance.
1545,1,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
1546,1,Shant disturb u anymore... Jia you...
1547,1,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
1548,1,"Me, i dont know again oh"
1549,1,Dude sux for snake. He got old and raiden got buff
1550,1,He says hi and to get your ass back to south tampa (preferably at a kegger)
1551,1,In e msg jus now. U said thanks for gift.
1552,1,U too...
1553,1,Ok how you dear. Did you call chechi
1554,1,Yeah we do totes. When u wanna?
1555,1,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
1556,1,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
1557,1,Wat r u doing?
1558,1,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
1559,1,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
1560,1,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
1561,1,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
1562,1,Dude just saw a parked car with its sunroof popped up. Sux
1563,1,Get ready to put on your excellent sub face :)
1564,1,Tmrw. Im finishing 9 doors
1565,1,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
1566,1,I am late. I will be there at
1567,1,"whatever, im pretty pissed off."
1568,1,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
1569,1,I dont have that much image in class.
1570,1,No:-)i got rumour that you going to buy apartment in chennai:-)
1571,1,Near kalainar tv office.thenampet
1574,1,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
1575,1,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
1576,1,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
1577,1,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
1578,1,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
1579,1,"Why is that, princess? I bet the brothas are all chasing you!"
1580,1,"I shall book chez jules for half eight, if that's ok with you?"
1581,1,Hhahhaahahah rofl wtf nig was leonardo in your room or something
1582,1,"Yep, at derek's house now, see you Sunday &lt;3"
1583,1,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
1584,1,"Sorry, I'll call later"
1585,1,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
1586,1,There are no other charges after transfer charges and you can withdraw anyhow you like
1587,1,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
1588,1,At 4. Let's go to bill millers
1589,1,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
1590,1,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
1591,1,That's my honeymoon outfit. :)
1592,1,Will it help if we propose going back again tomorrow
1594,1,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
1595,1,Pls confirm the time to collect the cheque.
1598,1,Daddy will take good care of you :)
1599,1,"Yeah probably, I still gotta check out with leo"
1600,1,K.then any other special?
1601,1,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
1602,1,Ok pa. Nothing problem:-)
1603,1,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
1604,1,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
1605,1,When you came to hostel.
1606,1,Ok no prob... I'll come after lunch then...
1607,1,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
1608,1,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
1609,1,You all ready for * big day tomorrow?
1610,1,I'll probably be around mu a lot
1611,1,645
1613,1,Thnx dude. u guys out 2nite?
1614,1,Me sef dey laugh you. Meanwhile how's my darling anjie!
1615,1,Mm i had my food da from out
1616,1,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
1617,1,Did u download the fring app?
1618,1,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
1619,1,Friends that u can stay on fb chat with
1620,1,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
1621,1,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
1623,1,"Ah, well that confuses things, doesnÛ÷t it?"
1625,1,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
1626,1,Dear how you. Are you ok?
1628,1,Yes princess! I want to make you happy...
1629,1,Sounds like you have many talents! would you like to go on a dinner date next week?
1630,1,I am going to film 2day da. At 6pm. Sorry da.
1631,1,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
1632,1,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
1633,1,Yesterday its with me only . Now am going home.
1635,1,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
1636,1,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
1638,1,Great comedy..cant stop laughing da:)
1640,1,"Alright, we're all set here, text the man"
1641,1,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
1642,1,Sleeping nt feeling well
1643,1,U WILL SWITCH YOUR FONE ON DAMMIT!!
1644,1,India have to take lead:)
1645,1,I.ll post her out l8r. In class
1646,1,Thts wat Wright Brother did to fly..
1647,1,"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!"
1648,1,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
1649,1,ITS A LAPTOP TAKE IT WITH YOU.
1650,1,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
1651,1,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
1653,1,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? 
1654,1,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
1655,1,At 7 we will go ok na.
1656,1,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
1657,1,S:-)if we have one good partnership going we will take lead:)
1659,1,"Yeah, where's your class at?"
1660,1,No just send to you. Bec you in temple na.
1661,1,"You aren't coming home between class, right? I need to work out and shower!"
1663,1,S but mostly not like that.
1664,1,ÌÏ v ma fan...
1665,1,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
1666,1,Guess who spent all last night phasing in and out of the fourth dimension
1667,1,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
1668,1,"Yes..but they said its IT.,"
1669,1,Very hurting n meaningful lines ever: \I compromised everything for my love
1670,1,Lmao!nice 1
1671,1,Glad to see your reply.
1674,1,Nah dub but je still buff
1675,1,Painful words- \I thought being Happy was the most toughest thing on Earth... But
1676,1,"Yeah, that's fine! It's å£6 to get in, is that ok? "
1677,1,Lol where do u come up with these ideas?
1678,1,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
1679,1,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
1680,1,Okay... We wait ah
1681,1,Y lei?
1682,1,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
1683,1,Already am squatting is the new way of walking
1684,1,Do you want bold 2 or bb torch
1685,1,Cramps stopped. Going back to sleep
1688,1,Nan sonathaya soladha. Why boss?
1689,1,Bring tat cd don forget
1691,1,I don't know but I'm raping dudes at poker
1692,1,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
1693,1,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
1694,1,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? 
1695,1,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
1696,1,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
1697,1,Hai priya are you right. What doctor said pa. Where are you.
1699,1,Ok...
1700,1,Please ask mummy to call father
1701,1,Can come my room but cannot come my house cos my house still messy... Haha...
1702,1,I have lost 10 kilos as of today!
1703,1,Just taste fish curry :-P
1704,1,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
1705,1,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?
1706,1,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
1707,1,Was doing my test earlier. I appreciate you. Will call you tomorrow.
1708,1,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
1709,1,U meet other fren dun wan meet me ah... Muz b a guy rite...
1710,1,"(No promises on when though, haven't even gotten dinner yet)"
1711,1,I got your back! Do you have any dislikes in bed?
1712,1,o turns out i had stereo love on mi phone under the unknown album.
1714,1,Yeah I don't see why not
1715,1,Asking do u knw them or nt? May be ur frnds or classmates?
1716,1,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
1718,1,"As in missionary hook up, doggy hook up, standing...|"
1719,1,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
1720,1,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
1721,1,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.
1722,1,Thought praps you meant another one. Goodo! I'll look tomorrow 
1723,1,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James."
1724,1,There bold 2  &lt;#&gt; . Is that yours
1725,1,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
1726,1,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
1727,1,I went to project centre
1728,1,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
1729,1,Lol yeah at this point I guess not
1730,1,Doing project w frens lor. 
1731,1,Lol. Well quality aint bad at all so i aint complaining
1732,1,"K, can that happen tonight?"
1734,1,"I think we're going to finn's now, come"
1735,1,Why tired what special there you had
1736,1,I will come tomorrow di
1737,1,I cant pick the phone right now. Pls send a message
1738,1,K go and sleep well. Take rest:-).
1739,1,U guys never invite me anywhere :(
1741,1,I can do that! I want to please you both inside and outside the bedroom...
1742,1,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\"""""
1743,1,I love to wine and dine my lady!
1745,1,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
1746,1,I don know account details..i will ask my mom and send you.my mom is out of reach now.
1747,1,I think u have the wrong number.
1748,1,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
1749,1,DO NOT B LATE LOVE MUM
1750,1,Got it..mail panren paru..
1751,1,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
1752,1,Give one miss from that number please
1753,1,Jus came back fr lunch wif my sis only. U leh?
1754,1,How is your schedule next week? I am out of town this weekend.
1755,1,Really good:)dhanush rocks once again:)
1756,1,Lmao ok I wont be needing u to do my hair anymore.
1757,1,"Miss ya, need ya, want ya, love ya."
1758,1,Sorry i'm not free...
1759,1,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
1760,1,Nt yet chikku..simple habba..hw abt u?
1761,1,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
1762,1,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
1763,1,Joy's father is John. Then John is the NAME of Joy's father. Mandan
1765,1,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
1767,1,"K, want us to come by now?"
1768,1,How. Its a little difficult but its a simple way to enter this place
1769,1,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
1770,1,Dont show yourself. How far. Put new pictures up on facebook.
1771,1,Watching tv now. I got new job :)
1772,1,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
1773,1,"I'm not coming over, do whatever you want"
1774,1,"Its ok chikku, and its my 1 of favourite song..:-)"
1775,1,Did u see what I posted on your Facebook?
1778,1,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
1781,1,";-( oh well, c u later"
1782,1,My uncles in Atlanta. Wish you guys a great semester.
1783,1,No dear i do have free messages without any recharge. Hi hi hi
1784,1,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
1785,1,I dun believe u. I thk u told him.
1786,1,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
1787,1,Yes:)sura in sun tv.:)lol.
1788,1,Arun can u transfr me d amt
1789,1,Takin a shower now but yeah I'll leave when I'm done
1790,1,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
1791,1,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
1793,1,You bad girl. I can still remember them
1794,1,How much i gave to you. Morning.
1795,1,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
1796,1,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
1797,1,Can i get your opinion on something first?
1798,1,That one week leave i put know that time. Why.
1799,1,"If we hit it off, you can move in with me :)"
1800,1,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
1801,1,I wanna watch that movie
1802,1,Ok lor thanx... ÌÏ in school?
1803,1,I'm in class. Did you get my text.
1804,1,The bus leaves at  &lt;#&gt; 
1805,1,God bless.get good sleep my dear...i will pray!
1807,1,Do have a nice day today. I love you so dearly.
1808,1,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
1809,1,"Aight, I'll ask a few of my roommates"
1810,1,"Now, whats your house # again ? And do you have any beer there ?"
1811,1,Do Ì_ all wan 2 meet up n combine all the parts? How's da rest of da project going?
1812,1,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\"""""
1813,1,Yes we are chatting too.
1814,1,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
1815,1,Sian... Aft meeting supervisor got work 2 do liao... U working now?
1816,1,Are you going to write ccna exam this week??
1817,1,Well i will watch shrek in 3D!!B)
1818,1,Am i that much dirty fellow?
1819,1,Dunno dat's wat he told me. Ok lor...
1820,1,I'll probably be by tomorrow (or even later tonight if something's going on)
1821,1,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
1822,1,If you're thinking of lifting me one then no.
1823,1,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
1824,1,Sent me ur email id soon
1825,1,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
1826,1,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
1827,1,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
1828,1,May i call You later Pls
1830,1,That's the way you should stay oh.
1831,1,Hello- thanx for taking that call. I got a job! Starts on monday!
1832,1,What time is ur flight tmr?
1833,1,When should I come over?
1834,1,I have a rather prominent bite mark on my right cheek
1835,1,* Will be september by then!
1836,1,Are you wet right now?
1837,1,And how's your husband.
1839,1,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
1840,1,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
1841,1,I am in your office na.
1842,1,"\Are you comingdown later?\"""""
1843,1,Super da:)good replacement for murali
1844,1,Da is good good player.why he is unsold.
1845,1,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
1846,1,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
1848,1,I dont want to hear philosophy. Just say what happen
1849,1,You got job in wipro:)you will get every thing in life in 2 or 3 years.
1850,1,Then cant get da laptop? My matric card wif Ì_ lei... 
1851,1,Dunno da next show aft 6 is 850. Toa payoh got 650.
1853,1,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
1854,1,They did't play one day last year know even though they have very good team.. Like india.
1855,1,K.:)you are the only girl waiting in reception ah?
1856,1,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
1857,1,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
1858,1,"Sir, i am waiting for your call."
1859,1,What's up. Do you want me to come online?
1860,1,"It could work, we'll reach a consensus at the next meeting"
